Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"11011","","","None","192.168.171.130","tcp","139","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
An SMB server is running on this port.
"
"11213","CVE-2003-1567","4.3","Medium","192.168.171.130","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","http://www.cgisecurity.com/whitehat-mirror/WH-WhitePaper_XST_ebook.pdf
http://www.apacheweek.com/issues/03-01-24
http://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1551643711.html HTTP/1.1
Connection: Close
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Tue, 01 Dec 2015 04:22:11 GMT
Server: Apache/2.2.6 (Win32) PHP/5.2.5
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1551643711.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11213","CVE-2004-2320","4.3","Medium","192.168.171.130","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","http://www.cgisecurity.com/whitehat-mirror/WH-WhitePaper_XST_ebook.pdf
http://www.apacheweek.com/issues/03-01-24
http://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1551643711.html HTTP/1.1
Connection: Close
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Tue, 01 Dec 2015 04:22:11 GMT
Server: Apache/2.2.6 (Win32) PHP/5.2.5
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1551643711.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11213","CVE-2010-0386","4.3","Medium","192.168.171.130","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","http://www.cgisecurity.com/whitehat-mirror/WH-WhitePaper_XST_ebook.pdf
http://www.apacheweek.com/issues/03-01-24
http://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1551643711.html HTTP/1.1
Connection: Close
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Tue, 01 Dec 2015 04:22:11 GMT
Server: Apache/2.2.6 (Win32) PHP/5.2.5
Keep-Alive: timeout=5, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1551643711.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.171.130
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11219","","","None","192.168.171.130","tcp","139","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 139/tcp was found to be open"
"11219","","","None","192.168.171.130","tcp","135","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 135/tcp was found to be open"
"11219","","","None","192.168.171.130","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
"11219","","","None","192.168.171.130","tcp","445","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 445/tcp was found to be open"
"11219","","","None","192.168.171.130","tcp","1025","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 1025/tcp was found to be open"
"11219","","","None","192.168.171.130","tcp","5000","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 5000/tcp was found to be open"
"11765","","","None","192.168.171.130","tcp","5000","UPnP TCP Helper Detection","The remote host appears to be running Microsoft UPnP TCP 
helper.","The remote host is running Microsoft UPnP TCP helper.

If the tested network is not a home network, you should 
disable this service.","Set the following registry key :
   Location : HKLM\SYSTEM\CurrentControlSet\Services\SSDPSRV
   Key      : Start
   Value    : 0x04","",""
"11808","CVE-2003-0352","10.0","Critical","192.168.171.130","tcp","445","MS03-026: Microsoft RPC Interface Buffer Overrun (823980) (uncredentialed check)","Arbitrary code can be executed on the remote host.","The remote version of Windows contains a flaw in the function
RemoteActivation() in its RPC interface that could allow an attacker to
execute arbitrary code on the remote host with the SYSTEM privileges.

A series of worms (Blaster) are known to exploit this vulnerability in the
wild.","Microsoft has released patches for Windows NT, 2000, XP, and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms03-026",""
"11835","CVE-2003-0715","10.0","Critical","192.168.171.130","tcp","445","MS03-039: Microsoft RPC Interface Buffer Overrun (824146) (uncredentialed check)","Arbitrary code can be executed on the remote host.","The remote host is running a version of Windows that has a flaw in its
RPC interface, which may allow an attacker to execute arbitrary code
and gain SYSTEM privileges.

An attacker or a worm could use it to gain the control of this host.

Note that this is NOT the same bug as the one described in MS03-026,
which fixes the flaw exploited by the 'MSBlast' (or LoveSan) worm.","Microsoft has released patches for Windows NT, 2000, XP, and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms03-039",""
"11835","CVE-2003-0528","10.0","Critical","192.168.171.130","tcp","445","MS03-039: Microsoft RPC Interface Buffer Overrun (824146) (uncredentialed check)","Arbitrary code can be executed on the remote host.","The remote host is running a version of Windows that has a flaw in its
RPC interface, which may allow an attacker to execute arbitrary code
and gain SYSTEM privileges.

An attacker or a worm could use it to gain the control of this host.

Note that this is NOT the same bug as the one described in MS03-026,
which fixes the flaw exploited by the 'MSBlast' (or LoveSan) worm.","Microsoft has released patches for Windows NT, 2000, XP, and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms03-039",""
"11835","CVE-2003-0605","10.0","Critical","192.168.171.130","tcp","445","MS03-039: Microsoft RPC Interface Buffer Overrun (824146) (uncredentialed check)","Arbitrary code can be executed on the remote host.","The remote host is running a version of Windows that has a flaw in its
RPC interface, which may allow an attacker to execute arbitrary code
and gain SYSTEM privileges.

An attacker or a worm could use it to gain the control of this host.

Note that this is NOT the same bug as the one described in MS03-026,
which fixes the flaw exploited by the 'MSBlast' (or LoveSan) worm.","Microsoft has released patches for Windows NT, 2000, XP, and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms03-039",""
"11890","CVE-2003-0717","10.0","Critical","192.168.171.130","udp","135","MS03-043: Buffer Overrun in Messenger Service (828035) (uncredentialed check)","Arbitrary code can be executed on the remote host.","A security vulnerability exists in the Messenger Service that could allow
arbitrary code execution on an affected system. An attacker who successfully
exploited this vulnerability could be able to run code with Local System
privileges on an affected system or could cause the Messenger Service to fail.
Disabling the Messenger Service will prevent the possibility of attack.

This plugin actually tests for the presence of this flaw.","Microsoft has released a set of patches for Windows NT, 2000, XP and
2003.","http://technet.microsoft.com/en-us/security/bulletin/ms03-043",""
"11936","","","None","192.168.171.130","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g. TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also sometimes possible to guess the version of
the operating system.","n/a","","
Remote operating system : Microsoft Windows XP
Microsoft Windows XP Service Pack 1
Confidence level : 99
Method : MSRPC

Not all fingerprints could give a match. If you think some or all of
the following could be used to identify the host's operating system,
please email them to os-signatures@nessus.org. Be sure to include a
brief description of the host itself, such as the actual operating
system or product / model names.

HTTP:Server: Apache/2.2.6 (Win32) PHP/5.2.5
NTP:!:unknown
SinFP:
   P1:B11113:F0x12:W64240:O0204ffff:M1460:
   P2:B11113:F0x12:W64240:O0204ffff010303000101080a000000000000000001010402:M1460:
   P3:B11021:F0x04:W0:O0:M0
   P4:6503_7_p=1025

 
The remote host is running one of these operating systems : 
Microsoft Windows XP
Microsoft Windows XP Service Pack 1"
"12054","CVE-2003-0818","10.0","Critical","192.168.171.130","tcp","445","MS04-007: ASN.1 Vulnerability Could Allow Code Execution (828028) (uncredentialed check) (NTLM)","Arbitrary code can be executed on the remote host.","The remote Windows host has an ASN.1 library that could allow an
attacker to execute arbitrary code on this host.

To exploit this flaw, an attacker would need to send a specially
crafted ASN.1 encoded packet with improperly advertised lengths.

This particular check sent a malformed NTLM packet and determined that
the remote host is not patched.","Microsoft has released patches for Windows NT, 2000, XP, and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms04-007",""
"12209","CVE-2003-0533","10.0","Critical","192.168.171.130","tcp","445","MS04-011: Security Update for Microsoft Windows (835732) (uncredentialed check)","Arbitrary code can be executed on the remote host due to a flaw in the
LSASS service.","The remote version of Windows contains a flaw in the function
'DsRolerUpgradeDownlevelServer' of the Local Security Authority Server
Service (LSASS) that allows an attacker to execute arbitrary code on
the remote host with SYSTEM privileges.

A series of worms (Sasser) are known to exploit this vulnerability in
the wild.","Microsoft has released a set of patches for Windows NT, 2000, XP and
2003.","http://technet.microsoft.com/en-us/security/bulletin/ms04-011",""
"13852","CVE-2004-0212","10.0","Critical","192.168.171.130","tcp","1025","MS04-022: Microsoft Windows Task Scheduler Remote Overflow (841873) (uncredentialed check)","Arbitrary code can be executed on the remote host.","There is a flaw in the Task Scheduler application which could allow a
remote attacker to execute code remotely.  There are many attack vectors
for this flaw.  An attacker, exploiting this flaw, would need to either
have the ability to connect to the target machine or be able to coerce a
local user to either install a .job file or browse to a malicious
website.","Microsoft has released a set of patches for Windows 2000, XP and 2003.","http://technet.microsoft.com/en-us/security/bulletin/ms04-022",""
